"estimate","std.error","p.val","model","term","type.effect","add.infovar"
"-0.114583375152678","0.0527108497333239","0.0301169518992585","HC3","FE R","direct","FALSE"
"-0.114583375152678","0.0485374244729572","0.0185642285673436","Canton","FE R","direct","FALSE"
"-0.114583375152678","0.0452659307405102","0.0116218341346094","Time","FE R","direct","FALSE"
"-0.114583375152678","0.0428128762370538","0.00764949164997264","Canton-Time","FE R","direct","FALSE"
"-0.114583375152678","0.0476302127313979","0.0164492941847039","NW","FE R","direct","FALSE"
"-0.114583375152678","0.0405230301657436","0.00484910158990645","CH","FE R","direct","FALSE"
"-0.114583375152678","0.0464426196496217","0.0139006425982302","Own","FE R","direct","FALSE"
"-0.115339456774267","0.0522993093063323","0.0278128607382294","HC3","FE R","total","FALSE"
"-0.115339456774267","0.0480349445675567","0.016651754860021","Canton","FE R","total","FALSE"
"-0.115339456774267","0.0445185481722137","0.0098115560368479","Time","FE R","total","FALSE"
"-0.115339456774267","0.0418770680024007","0.00606428069881698","Canton-Time","FE R","total","FALSE"
"-0.115339456774267","0.0471996328954318","0.0148313838546775","NW","FE R","total","FALSE"
"-0.115339456774267","0.0400787214275875","0.00414925026312551","CH","FE R","total","FALSE"
"-0.115339456774267","0.0458773477194355","0.0121992685428406","Own","FE R","total","FALSE"
"-0.147884260834143","0.0460480921980152","0.00138758291503971","HC3","RE R","direct","FALSE"
"-0.198879227096485","0.0504253174182802","8.90584773427248e-05","HC3","RE R","total","FALSE"
"-0.251609157510345","0.0936099509078092","0.0073947763129217","HC3","FE Casegrowth","direct","FALSE"
"-0.251609157510345","0.103378857659567","0.0152351947813104","Canton","FE Casegrowth","direct","FALSE"
"-0.251609157510345","0.0895207723256587","0.00510899960283522","Time","FE Casegrowth","direct","FALSE"
"-0.251609157510345","0.102492208093538","0.014380049636967","Canton-Time","FE Casegrowth","direct","FALSE"
"-0.251609157510345","0.0936137424975817","0.00739715762669784","NW","FE Casegrowth","direct","FALSE"
"-0.251609157510345","0.0827175394182981","0.00245642554861187","CH","FE Casegrowth","direct","FALSE"
"-0.251609157510345","0.0894684255338253","0.00508330048308097","Own","FE Casegrowth","direct","FALSE"
"-0.252819325055186","0.0925739355561042","0.00650307072893073","HC3","FE Casegrowth","total","FALSE"
"-0.252819325055186","0.101353070255979","0.0128879996065734","Canton","FE Casegrowth","total","FALSE"
"-0.252819325055186","0.0876242594853068","0.00405374209328941","Time","FE Casegrowth","total","FALSE"
