"estimate","std.error","p.val","model","term","type.effect","add.infovar"
"-0.126724414475111","0.0778392902833668","0.104448283199382","HC3","FE R","direct","FALSE"
"-0.126724414475111","0.053823002503127","0.0191192148355494","Canton","FE R","direct","FALSE"
"-0.126724414475111","0.0589799514062584","0.0323738987049458","Time","FE R","direct","FALSE"
"-0.126724414475111","0.0299495582981207","2.99465026560833e-05","Canton-Time","FE R","direct","FALSE"
"-0.126724414475111","0.0656677706734629","0.0544681225251995","NW","FE R","direct","FALSE"
"-0.126724414475111","0.0478993454746757","0.00853353826045382","CH","FE R","direct","FALSE"
"-0.126724414475111","0.063129170232269","0.0455022415191532","Own","FE R","direct","FALSE"
"-0.127791362091099","0.0772558006591875","0.0990233749104851","HC3","FE R","total","FALSE"
"-0.127791362091099","0.0530852115541525","0.016603872005654","Canton","FE R","total","FALSE"
"-0.127791362091099","0.0580786710217542","0.028456695821212","Time","FE R","total","FALSE"
"-0.127791362091099","0.0278911433623426","6.48164544211421e-06","Canton-Time","FE R","total","FALSE"
"-0.127791362091099","0.0651219902743812","0.0505383874733203","NW","FE R","total","FALSE"
"-0.127791362091099","0.0475877728068502","0.00759994456952978","CH","FE R","total","FALSE"
"-0.127791362091099","0.0625633236083928","0.0418637426120715","Own","FE R","total","FALSE"
"-0.0971340343128061","0.0536817558035252","0.0711915349944343","HC3","RE R","direct","FALSE"
"-0.0930574297867944","0.0514697665819058","0.0714072590865459","HC3","RE R","total","FALSE"
"-0.258870164087303","0.111655871405949","0.0210185129324671","HC3","FE Casegrowth","direct","FALSE"
"-0.258870164087303","0.108722686676374","0.0178168632000608","Canton","FE Casegrowth","direct","FALSE"
"-0.258870164087303","0.107013904207256","0.0160878177077495","Time","FE Casegrowth","direct","FALSE"
"-0.258870164087303","0.109016576889637","0.0181243820478161","Canton-Time","FE Casegrowth","direct","FALSE"
"-0.258870164087303","0.10448890317912","0.0137178404666798","NW","FE Casegrowth","direct","FALSE"
"-0.258870164087303","0.0921927364398082","0.00527495038189412","CH","FE Casegrowth","direct","FALSE"
"-0.258870164087303","0.101484982579486","0.0111858231417971","Own","FE Casegrowth","direct","FALSE"
"-0.260564016047188","0.110936084477398","0.0194072779888561","HC3","FE Casegrowth","total","FALSE"
"-0.260564016047188","0.107485884265568","0.0158644108716759","Canton","FE Casegrowth","total","FALSE"
