"estimate,""std.error"",""p.val"",""model"",""term"",""type.effect"",""add.infovar"""
"-0.126012383227099,""0.0776968908312219"",""0.105765986891927"",""HC3"",""FE R"",""direct"",""FALSE"""
"-0.126012383227099,""0.0597133009740919"",""0.0355655898152175"",""Canton"",""FE R"",""direct"",""FALSE"""
"-0.126012383227099,""0.0572159560570274"",""0.0283098524120396"",""Time"",""FE R"",""direct"",""FALSE"""
"-0.126012383227099,""0.0367581978164808"",""0.000682587147710219"",""Canton-Time"",""FE R"",""direct"",""FALSE"""
"-0.126012383227099,""0.0669664243454376"",""0.0607299698252602"",""NW"",""FE R"",""direct"",""FALSE"""
"-0.126012383227099,""0.050565262514056"",""0.013177111381659"",""CH"",""FE R"",""direct"",""FALSE"""
"-0.126012383227099,""0.0643409387965378"",""0.0509898261747476"",""Own"",""FE R"",""direct"",""FALSE"""
"-0.126447730463333,""0.0774382920246312"",""0.103419139493759"",""HC3"",""FE R"",""total"",""FALSE"""
"-0.126447730463333,""0.0587908620079419"",""0.032195923508015"",""Canton"",""FE R"",""total"",""FALSE"""
"-0.126447730463333,""0.0570034436711312"",""0.0271982275639906"",""Time"",""FE R"",""total"",""FALSE"""
"-0.126447730463333,""0.0351439221184686"",""0.000368285240220972"",""Canton-Time"",""FE R"",""total"",""FALSE"""
"-0.126447730463333,""0.0666184987139067"",""0.0585312817857385"",""NW"",""FE R"",""total"",""FALSE"""
"-0.126447730463333,""0.050068490425225"",""0.0120074557165932"",""CH"",""FE R"",""total"",""FALSE"""
"-0.126447730463333,""0.0639708212641927"",""0.0488892776106772"",""Own"",""FE R"",""total"",""FALSE"""
"-0.0993286907513015,""0.0664076280122152"",""0.135570992884371"",""HC3"",""RE R"",""direct"",""FALSE"""
"-0.0948315002164351,""0.063908047904018"",""0.138682308645537"",""HC3"",""RE R"",""total"",""FALSE"""
"-0.253993617270713,""0.118603000213072"",""0.0329425719635087"",""HC3"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.253993617270713,""0.125806969814705"",""0.0442828613224883"",""Canton"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.253993617270713,""0.118767817374451"",""0.0331846152256917"",""Time"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.253993617270713,""0.130612320014122"",""0.0526453625759811"",""Canton-Time"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.253993617270713,""0.11148518206689"",""0.0233321212420056"",""NW"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.253993617270713,""0.0970397757621605"",""0.00925684528765299"",""CH"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.253993617270713,""0.107675862695245"",""0.0188974147729638"",""Own"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.2546584302049,""0.11789742545821"",""0.0314711495274756"",""HC3"",""FE Casegrowth"",""total"",""FALSE"""
